ID,Price,Carat,Cut,Log_Price,Log_Carat
651,11969,2.01,Good,9.39,0.7
652,9379,2.33,Very Good,9.15,0.85
653,10217,1.45,Good,9.23,0.37
654,11779,1.63,Good,9.37,0.49
655,10825,1.97,Fair,9.29,0.68
656,11892,2.21,Very Good,9.38,0.79
657,11957,2.32,Fair,9.39,0.84
658,5239,0.61,Ideal,8.56,-0.49
659,8440,1.51,Fair,9.04,0.41
660,5554,1.2,Ideal,8.62,0.18
661,15597,2.19,Ideal,9.65,0.78
662,9786,2.11,Fair,9.19,0.75
663,5284,0.73,Good,8.57,-0.31
664,11927,1.93,Very Good,9.39,0.66
665,6151,0.97,Ideal,8.72,-0.03
666,3920,0.65,Good,8.27,-0.43
667,17469,2.37,Ideal,9.77,0.86
668,6110,0.81,Good,8.72,-0.21
669,9643,1.79,Good,9.17,0.58
670,2792,0.85,Good,7.93,-0.16
671,2571,0.54,Very Good,7.85,-0.62
672,8779,1.54,Very Good,9.08,0.43
673,2702,0.67,Fair,7.9,-0.4
674,6709,1.07,Very Good,8.81,0.07
675,5479,1.34,Fair,8.61,0.29
676,11913,1.67,Very Good,9.39,0.51
677,10740,2.11,Very Good,9.28,0.75
678,3942,0.9,Very Good,8.28,-0.11
679,6969,1.42,Very Good,8.85,0.35
680,9205,1.4,Good,9.13,0.34
681,8433,1.97,Fair,9.04,0.68
682,8594,1.93,Very Good,9.06,0.66
683,12450,2.16,Ideal,9.43,0.77
684,8629,2.27,Good,9.06,0.82
685,15562,2.41,Good,9.65,0.88
686,4002,1.6,Fair,8.29,0.47
687,7032,1.54,Very Good,8.86,0.43
688,3813,0.84,Very Good,8.25,-0.17
689,4122,1.46,Very Good,8.32,0.38
690,5957,1.01,Ideal,8.69,0.01
691,4626,0.58,Good,8.44,-0.54
692,12426,1.77,Fair,9.43,0.57
693,7599,1.58,Good,8.94,0.46
694,3750,0.78,Ideal,8.23,-0.25
695,7832,1.07,Ideal,8.97,0.07
696,11152,1.67,Ideal,9.32,0.51
697,3145,0.83,Ideal,8.05,-0.19
698,5646,0.69,Very Good,8.64,-0.37
699,6643,1.36,Good,8.8,0.31
700,5068,1.21,Fair,8.53,0.19
701,9263,2.19,Very Good,9.13,0.78
702,4917,1.02,Fair,8.5,0.02
703,2417,0.55,Good,7.79,-0.6
704,11614,2.22,Ideal,9.36,0.8
705,9836,1.17,Ideal,9.19,0.16
706,8941,1.76,Very Good,9.1,0.57
707,8982,1.59,Fair,9.1,0.46
708,7280,1.25,Very Good,8.89,0.22
709,7020,0.87,Ideal,8.86,-0.14
710,7579,1.36,Very Good,8.93,0.31
711,8134,1.76,Good,9,0.57
712,5200,1.54,Fair,8.56,0.43
713,7485,1.82,Fair,8.92,0.6
714,13773,1.96,Ideal,9.53,0.67
715,7352,1.47,Good,8.9,0.39
716,4975,1.27,Ideal,8.51,0.24
717,5401,0.51,Very Good,8.59,-0.67
718,3352,0.51,Very Good,8.12,-0.67
719,17772,2.49,Ideal,9.79,0.91
720,3154,0.72,Fair,8.06,-0.33
721,13097,1.34,Ideal,9.48,0.29
722,11590,1.94,Good,9.36,0.66
723,7591,1.99,Very Good,8.93,0.69
724,12751,2.24,Good,9.45,0.81
725,6147,1.72,Fair,8.72,0.54
726,10991,2.01,Ideal,9.3,0.7
727,9584,2.19,Fair,9.17,0.78
728,9013,1.73,Very Good,9.11,0.55
729,9302,2.09,Good,9.14,0.74
730,2362,0.55,Fair,7.77,-0.6
731,13706,1.33,Ideal,9.53,0.29
732,14477,2.25,Good,9.58,0.81
733,10555,1.79,Fair,9.26,0.58
734,16675,2.35,Ideal,9.72,0.85
735,4065,0.84,Ideal,8.31,-0.17
736,7370,1.13,Very Good,8.91,0.12
737,15388,2.11,Good,9.64,0.75
738,21687,2.48,Ideal,9.98,0.91
739,8196,1.14,Ideal,9.01,0.13
740,6227,0.5,Ideal,8.74,-0.69
741,11166,2.48,Fair,9.32,0.91
742,2302,0.8,Ideal,7.74,-0.22
743,3229,0.6,Very Good,8.08,-0.51
744,11130,1.69,Fair,9.32,0.52
745,2721,1.14,Fair,7.91,0.13
746,6697,1.56,Fair,8.81,0.44
747,9451,2.09,Ideal,9.15,0.74
748,6433,0.64,Ideal,8.77,-0.45
749,17566,1.89,Ideal,9.77,0.64
750,12120,2.4,Good,9.4,0.88
751,9831,1.06,Ideal,9.19,0.06
752,6121,1,Ideal,8.72,0
753,9342,0.82,Ideal,9.14,-0.2
754,5625,0.64,Very Good,8.63,-0.45
755,11364,1.61,Ideal,9.34,0.48
756,8237,1.48,Good,9.02,0.39
757,8560,1.49,Ideal,9.05,0.4
758,15422,2.28,Good,9.64,0.82
759,4168,0.57,Good,8.34,-0.56
760,1276,0.91,Ideal,7.15,-0.09
761,6289,1.53,Very Good,8.75,0.43
762,4631,0.97,Fair,8.44,-0.03
763,6285,1.65,Fair,8.75,0.5
764,7454,1.46,Good,8.92,0.38
765,6428,1.64,Good,8.77,0.49
766,6737,0.79,Ideal,8.82,-0.24
767,9101,0.79,Ideal,9.12,-0.24
768,8641,1.32,Good,9.06,0.28
769,13024,1.87,Very Good,9.47,0.63
770,15132,1.81,Ideal,9.62,0.59
771,11816,2.33,Very Good,9.38,0.85
772,5517,2.13,Very Good,8.62,0.76
773,9495,1.85,Fair,9.16,0.62
774,11667,2.11,Very Good,9.36,0.75
775,4126,0.76,Good,8.33,-0.27
776,7144,1,Good,8.87,0
777,7476,1.16,Fair,8.92,0.15
778,7944,1.31,Good,8.98,0.27
779,10910,1.77,Very Good,9.3,0.57
780,9827,2.12,Good,9.19,0.75
781,5024,1.02,Fair,8.52,0.02
782,12432,2.14,Good,9.43,0.76
783,3456,0.53,Very Good,8.15,-0.63
784,11552,1.81,Very Good,9.35,0.59
785,8877,2.12,Fair,9.09,0.75
786,11537,1.42,Fair,9.35,0.35
787,2525,0.91,Ideal,7.83,-0.09
788,2597,0.54,Good,7.86,-0.62
789,7122,1.07,Very Good,8.87,0.07
790,14527,2.33,Ideal,9.58,0.85
791,14303,2.37,Fair,9.57,0.86
792,8191,1.59,Fair,9.01,0.46
793,5233,0.94,Very Good,8.56,-0.06
794,8349,1.48,Ideal,9.03,0.39
795,12059,2.1,Good,9.4,0.74
796,6037,1.32,Good,8.71,0.28
797,4608,0.71,Very Good,8.44,-0.34
798,6786,1.06,Ideal,8.82,0.06
799,8238,1.22,Very Good,9.02,0.2
800,4508,1.02,Very Good,8.41,0.02
801,7895,1.44,Fair,8.97,0.36
802,7863,1.23,Ideal,8.97,0.21
803,2581,0.74,Fair,7.86,-0.3
804,5544,0.59,Very Good,8.62,-0.53
805,6909,1.03,Very Good,8.84,0.03
806,11282,2.44,Fair,9.33,0.89
807,8791,1.48,Ideal,9.08,0.39
808,11404,1.46,Very Good,9.34,0.38
809,16146,2,Ideal,9.69,0.69
810,9121,1.84,Very Good,9.12,0.61
811,3444,0.6,Good,8.14,-0.51
812,11650,1.89,Very Good,9.36,0.64
813,7623,1.23,Ideal,8.94,0.21
814,13378,2.27,Very Good,9.5,0.82
815,14354,2.05,Good,9.57,0.72
816,3472,0.78,Good,8.15,-0.25
817,7432,1.09,Very Good,8.91,0.09
818,3951,0.75,Good,8.28,-0.29
819,9361,1.68,Very Good,9.14,0.52
820,10201,1.62,Fair,9.23,0.48
821,10903,1.88,Ideal,9.3,0.63
822,4403,1.12,Good,8.39,0.11
823,7423,1.71,Fair,8.91,0.54
824,6552,2.48,Ideal,8.79,0.91
825,14587,1.99,Very Good,9.59,0.69
826,5576,0.65,Ideal,8.63,-0.43
827,5996,1.4,Fair,8.7,0.34
828,4188,0.61,Ideal,8.34,-0.49
829,5261,1.18,Very Good,8.57,0.17
830,17843,1.97,Ideal,9.79,0.68
831,1888,0.51,Ideal,7.54,-0.67
832,9830,2.04,Very Good,9.19,0.71
833,4990,1.43,Ideal,8.52,0.36
834,9279,1.94,Fair,9.14,0.66
835,8660,1.83,Fair,9.07,0.6
836,7295,1.64,Good,8.89,0.49
837,15075,1.91,Very Good,9.62,0.65
838,10169,1.81,Good,9.23,0.59
839,7931,1.08,Ideal,8.98,0.08
840,7487,0.69,Ideal,8.92,-0.37
841,9215,2.42,Good,9.13,0.88
842,8453,1.97,Good,9.04,0.68
843,9878,1.73,Good,9.2,0.55
844,4111,0.74,Ideal,8.32,-0.3
845,9327,1.6,Good,9.14,0.47
846,6144,1.03,Fair,8.72,0.03
847,15013,2.3,Very Good,9.62,0.83
848,2671,0.52,Fair,7.89,-0.65
849,5574,0.97,Very Good,8.63,-0.03
850,3245,0.76,Good,8.08,-0.27
851,10177,1.15,Ideal,9.23,0.14
852,9248,1.95,Ideal,9.13,0.67
853,12840,2.48,Good,9.46,0.91
854,11468,1.93,Fair,9.35,0.66
855,12294,1.51,Very Good,9.42,0.41
856,8589,1.37,Very Good,9.06,0.31
857,13204,2.4,Ideal,9.49,0.88
858,4884,0.74,Good,8.49,-0.3
859,5571,0.65,Very Good,8.63,-0.43
860,13961,2.28,Ideal,9.54,0.82
861,10028,1.35,Very Good,9.21,0.3
862,4923,0.58,Very Good,8.5,-0.54
863,7167,1.79,Fair,8.88,0.58
864,9682,1.44,Ideal,9.18,0.36
865,8967,1.74,Very Good,9.1,0.55
866,4811,1.04,Fair,8.48,0.04
867,4551,0.81,Good,8.42,-0.21
868,5821,0.73,Ideal,8.67,-0.31
869,11416,1.52,Good,9.34,0.42
870,9684,1.6,Very Good,9.18,0.47
871,6978,0.78,Good,8.85,-0.25
872,3540,0.84,Ideal,8.17,-0.17
873,10668,2.02,Fair,9.28,0.7
874,4628,1.55,Good,8.44,0.44
875,9544,2.22,Fair,9.16,0.8
876,12832,1.85,Ideal,9.46,0.62
877,3496,0.53,Good,8.16,-0.63
878,10536,1.89,Fair,9.26,0.64
879,13474,2.28,Ideal,9.51,0.82
880,5483,1.76,Good,8.61,0.57
881,6718,0.71,Ideal,8.81,-0.34
882,11253,2.34,Fair,9.33,0.85
883,11273,1.85,Good,9.33,0.62
884,4998,0.8,Fair,8.52,-0.22
885,9338,1.99,Fair,9.14,0.69
886,15971,2.39,Ideal,9.68,0.87
887,6596,1.34,Fair,8.79,0.29
888,5918,1.1,Good,8.69,0.1
889,7746,1.02,Good,8.95,0.02
890,4226,0.95,Very Good,8.35,-0.05
891,10146,1.63,Very Good,9.22,0.49
892,12755,2.01,Ideal,9.45,0.7
893,6827,1.84,Good,8.83,0.61
894,7806,1.59,Very Good,8.96,0.46
895,9804,2.12,Ideal,9.19,0.75
896,14577,2.02,Very Good,9.59,0.7
897,4135,0.54,Good,8.33,-0.62
898,5546,1.26,Ideal,8.62,0.23
899,4199,0.6,Fair,8.34,-0.51
900,8202,2.1,Very Good,9.01,0.74
901,7558,2.35,Good,8.93,0.85
902,4848,1.59,Good,8.49,0.46
903,14055,2.2,Fair,9.55,0.79
904,12942,1.67,Ideal,9.47,0.51
905,10392,1.84,Very Good,9.25,0.61
906,6072,1.52,Very Good,8.71,0.42
907,15662,2.03,Very Good,9.66,0.71
908,15588,2.31,Very Good,9.65,0.84
909,8640,2.14,Very Good,9.06,0.76
910,2005,0.64,Very Good,7.6,-0.45
911,3405,0.51,Fair,8.13,-0.67
912,3796,0.6,Very Good,8.24,-0.51
913,12717,2.23,Very Good,9.45,0.8
914,11222,1.65,Very Good,9.33,0.5
915,4517,1.13,Very Good,8.42,0.12
916,10306,2.42,Fair,9.24,0.88
917,9480,1.68,Fair,9.16,0.52
918,10111,1.56,Very Good,9.22,0.44
919,8495,1.27,Ideal,9.05,0.24
920,7235,1.14,Fair,8.89,0.13
921,16388,2.12,Ideal,9.7,0.75
922,2776,0.58,Good,7.93,-0.54
923,8945,1.23,Ideal,9.1,0.21
924,13646,2.21,Good,9.52,0.79
925,12176,1.9,Very Good,9.41,0.64
926,9032,1.87,Good,9.11,0.63
927,5490,1.2,Very Good,8.61,0.18
928,8814,1.61,Fair,9.08,0.48
929,3168,0.77,Very Good,8.06,-0.26
930,6157,2.07,Ideal,8.73,0.73
931,14990,2.27,Very Good,9.62,0.82
932,3388,0.91,Good,8.13,-0.09
933,7446,2.04,Fair,8.92,0.71
934,8119,1.69,Fair,9,0.52
935,11358,2.42,Fair,9.34,0.88
936,2413,0.82,Fair,7.79,-0.2
937,9539,1.55,Good,9.16,0.44
938,10964,2.25,Ideal,9.3,0.81
939,11158,2.24,Good,9.32,0.81
940,8541,0.55,Ideal,9.05,-0.6
941,14396,2.45,Very Good,9.57,0.9
942,8060,1.48,Good,8.99,0.39
943,6293,1.28,Fair,8.75,0.25
944,12266,1.34,Very Good,9.41,0.29
945,3890,0.69,Fair,8.27,-0.37
946,9406,0.82,Ideal,9.15,-0.2
947,7439,1.31,Fair,8.91,0.27
948,5073,1.18,Very Good,8.53,0.17
949,11197,1.33,Ideal,9.32,0.29
950,6277,1.11,Good,8.74,0.1
951,8687,1.62,Fair,9.07,0.48
952,9315,0.81,Ideal,9.14,-0.21
953,10695,2.41,Fair,9.28,0.88
954,4455,0.59,Good,8.4,-0.53
955,8076,1.24,Very Good,9,0.22
956,17904,2.43,Good,9.79,0.89
957,8025,1.79,Good,8.99,0.58
958,3973,0.62,Ideal,8.29,-0.48
959,9736,1.32,Very Good,9.18,0.28
960,8454,1.35,Fair,9.04,0.3
961,11298,1.52,Ideal,9.33,0.42
962,7649,1.4,Fair,8.94,0.34
963,9383,1.75,Fair,9.15,0.56
964,5817,0.78,Fair,8.67,-0.25
965,8262,2.32,Good,9.02,0.84
966,6831,1.64,Good,8.83,0.49
967,6051,1.6,Good,8.71,0.47
968,4640,0.73,Fair,8.44,-0.31
969,10978,2.02,Ideal,9.3,0.7
970,7701,1.46,Very Good,8.95,0.38
971,14854,2.06,Fair,9.61,0.72
972,6569,0.59,Ideal,8.79,-0.53
973,16600,2.14,Good,9.72,0.76
974,6694,1.04,Very Good,8.81,0.04
975,11698,1.07,Ideal,9.37,0.07
976,8733,1.79,Very Good,9.07,0.58
977,11001,2.4,Fair,9.31,0.88
978,3155,0.51,Good,8.06,-0.67
979,13861,1.2,Ideal,9.54,0.18
980,9642,1.34,Fair,9.17,0.29
981,8042,1.42,Ideal,8.99,0.35
982,18178,1.92,Good,9.81,0.65
983,19073,2.34,Fair,9.86,0.85
984,7697,1.75,Fair,8.95,0.56
985,12160,2.3,Very Good,9.41,0.83
986,8602,2.01,Fair,9.06,0.7
987,4137,0.78,Good,8.33,-0.25
988,5282,0.81,Good,8.57,-0.21
989,6928,0.88,Very Good,8.84,-0.13
990,7961,1.37,Good,8.98,0.31
991,4890,0.67,Good,8.49,-0.4
992,2360,0.95,Fair,7.77,-0.05
993,9901,1.64,Ideal,9.2,0.49
994,6773,1.3,Fair,8.82,0.26
995,6746,1.63,Fair,8.82,0.49
996,19190,2.16,Ideal,9.86,0.77
997,8798,1.78,Good,9.08,0.58
998,7941,1.28,Ideal,8.98,0.25
999,12864,1.92,Good,9.46,0.65
1000,5134,0.72,Good,8.54,-0.33
